date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:37	292/292	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jun%202017%2014:19:07%20GMT	http://evoting.ust.edu.ng/robots.txt		(from )
15:18:03	23119/23119	---M-Z	200	added ('OK')	text/html	etag:%225a4f-552910a664234-gzip%22	http://evoting.ust.edu.ng/	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/index.html	(from )
15:18:21	1061/1061	---M--	200	added ('OK')	image/png	etag:%22425-552610cda4d64%22	http://evoting.ust.edu.ng/img/fav.png	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/img/fav.png	(from http://evoting.ust.edu.ng/)
15:18:29	107106/107106	---M-Z	200	added ('OK')	text/css	etag:%221a262-5526106fcc6bf-gzip%22	http://evoting.ust.edu.ng/css/bootstrap.min.css	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/css/bootstrap.min.css	(from http://evoting.ust.edu.ng/)
15:18:37	31024/31024	---M-Z	200	added ('OK')	text/css	etag:%227930-55261077f25bf-gzip%22	http://evoting.ust.edu.ng/css/font-awesome.min.css	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/css/font-awesome.min.css	(from http://evoting.ust.edu.ng/)
15:20:00	4943/4943	---M-Z	200	added ('OK')	text/css	etag:%22134f-5526107a460ff-gzip%22	http://evoting.ust.edu.ng/css/jquery.fancybox.css	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/css/jquery.fancybox.css	(from http://evoting.ust.edu.ng/)
15:20:31	3849/3849	---M-Z	200	added ('OK')	text/css	etag:%22f09-5526107207b5f-gzip%22	http://evoting.ust.edu.ng/css/carousel-3d.default.css	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/css/carousel-3d.default.css	(from http://evoting.ust.edu.ng/)
15:20:39	15706/15706	---M-Z	200	added ('OK')	text/css	etag:%223d5a-552610857a3a0-gzip%22	http://evoting.ust.edu.ng/css/style.css	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/css/style.css	(from http://evoting.ust.edu.ng/)
15:20:48	2060/2060	---M-Z	200	added ('OK')	text/css	etag:%2280c-55261082cea20-gzip%22	http://evoting.ust.edu.ng/css/responsive.css	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/css/responsive.css	(from http://evoting.ust.edu.ng/)
15:22:04	15514/15514	---M-Z	200	added ('OK')	application/javascript	etag:%223c9a-5526107f6789f-gzip%22	http://evoting.ust.edu.ng/css/modernizr-2.8.3.min.js	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/css/modernizr-2.8.3.min.js	(from http://evoting.ust.edu.ng/)
15:22:15	73232/73232	---M--	200	added ('OK')	image/png	etag:%2211e10-5528e6c2c2f8b%22	http://evoting.ust.edu.ng/img/logo.png	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/img/logo.png	(from http://evoting.ust.edu.ng/)
15:23:06	2723/2723	---M-Z	200	added ('OK')	text/html	etag:%22aa3-55261191eddce-gzip%22	http://evoting.ust.edu.ng/view_cat.html	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/view_cat.html	(from http://evoting.ust.edu.ng/)
15:23:14	1778/1778	---M-Z	200	added ('OK')	text/html	etag:%226f2-55261181d9a6e-gzip%22	http://evoting.ust.edu.ng/my_votes.html	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/my_votes.html	(from http://evoting.ust.edu.ng/)
15:23:54	2298/2298	---M-Z	200	added ('OK')	text/html	etag:%228fa-5526118c96ace-gzip%22	http://evoting.ust.edu.ng/setup.html	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/setup.html	(from http://evoting.ust.edu.ng/)
15:24:46	84/84	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202017%2014:27:16%20GMT	http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=chkuser	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/includes/ajaxactionef4d.html	(from http://evoting.ust.edu.ng/)
15:26:22	3424/3424	---M-Z	200	added ('OK')	application/javascript	etag:%22d60-5526115702dab-gzip%22	http://evoting.ust.edu.ng/js/jquery.resize.ex.js	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/js/jquery.resize.ex.js	(from http://evoting.ust.edu.ng/)
15:29:49	1594/1594	---M-Z	200	added ('OK')	application/javascript	etag:%2263a-55261160a79ac-gzip%22	http://evoting.ust.edu.ng/js/switcher.js	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/js/switcher.js	(from http://evoting.ust.edu.ng/)
15:30:40	6663/6663	---M-Z	200	added ('OK')	application/javascript	etag:%221a07-5526114c8648b-gzip%22	http://evoting.ust.edu.ng/js/custom.js	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/js/custom.js	(from http://evoting.ust.edu.ng/)
15:36:57	20290/20290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f42-552610b0ce062%22	http://evoting.ust.edu.ng/fonts/glyphicons-halflings-regulard41d.eot?	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/fonts/glyphicons-halflings-regulard41dd41d.eot	(from http://evoting.ust.edu.ng/css/bootstrap.min.css)
15:44:26	1825/1825	---M-Z	200	added ('OK')	text/css	etag:%22721-5526108976bc0-gzip%22	http://evoting.ust.edu.ng/css/switcher/style1.css	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/css/switcher/style1.css	(from http://evoting.ust.edu.ng/)
15:45:15	4/4	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202017%2014:47:45%20GMT	http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showMyvote&vid=	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/includes/ajaxactionc74f.html	(from http://evoting.ust.edu.ng/my_votes.html)
15:45:25	87/87	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202017%2014:47:56%20GMT	http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=setSEdate	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/includes/ajaxaction359c.html	(from http://evoting.ust.edu.ng/setup.html)
15:45:26	3268/3268	---M-Z	200	added ('OK')	text/html	etag:%22cc4-5526118493e4e-gzip%22	http://evoting.ust.edu.ng/report.html	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/report.html	(from http://evoting.ust.edu.ng/)
15:46:19	1242/1242	---M-Z	200	added ('OK')	application/javascript	etag:%224da-55261144f9aaa-gzip%22	http://evoting.ust.edu.ng/js/app.js	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/js/app.js	(from http://evoting.ust.edu.ng/)
15:46:30	79/79	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202017%2014:49:00%20GMT	http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=vote&c=	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/includes/ajaxactionfc48.php	(from http://evoting.ust.edu.ng/)
15:46:37	6297/6297	---M-Z	200	added ('OK')	text/html	etag:%221899-55275e9157e9f-gzip%22	http://evoting.ust.edu.ng/voting.html	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/voting.html	(from http://evoting.ust.edu.ng/)
15:47:03	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-552610940abe1%22	http://evoting.ust.edu.ng/fonts/fontawesome-webfont3e6e.eot?v=4.7.0	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/fonts/fontawesome-webfont3e6e3e6e.eot	(from http://evoting.ust.edu.ng/css/font-awesome.min.css)
15:47:03	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-552610a44ae62%22	http://evoting.ust.edu.ng/fonts/fontawesome-webfontd41d.eot?	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/fonts/fontawesome-webfontd41dd41d.eot	(from http://evoting.ust.edu.ng/css/font-awesome.min.css)
15:47:13	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-5526106c9febe-gzip%22	http://evoting.ust.edu.ng/css/animate.css	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/css/animate.css	(from http://evoting.ust.edu.ng/)
15:47:51	324/324	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jun%202017%2014:50:22%20GMT	http://evoting.ust.edu.ng/demosthenes.info/assets/images/polina.html	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/demosthenes.info/assets/images/polina.html	(from http://evoting.ust.edu.ng/css/style.css)
15:48:23	516/516	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202017%2014:50:53%20GMT	http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=getPosition	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/includes/ajaxactionf0d1.html	(from http://evoting.ust.edu.ng/report.html)
15:49:45	15524/15524	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202017%2014:52:14%20GMT	http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=	C:/My%20Web%20Sites/vote/evoting.ust.edu.ng/includes/ajaxaction6baf.php	(from http://evoting.ust.edu.ng/report.html)
15:49:53	10095/10095	---M--	200	added ('OK')	image/jpeg	etag:%22276f-52084c21cea00%22	http://ecampus.ust.edu.ng/applpics/users/isaac.asu1.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/isaac.asu1.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:07	4056/4056	---M--	200	added ('OK')	image/jpeg	etag:%22fd8-509c564543200%22	http://ecampus.ust.edu.ng/applpics/users/queen.jaja.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/queen.jaja.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:08	13038/13038	---M--	200	added ('OK')	image/jpeg	etag:%2232ee-5213517b0cf80%22	http://ecampus.ust.edu.ng/applpics/users/israel.denson.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/israel.denson.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:09	11277/11277	---M--	200	added ('OK')	image/jpeg	etag:%222c0d-522847d411d00%22	http://ecampus.ust.edu.ng/applpics/users/ile.samuel.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/ile.samuel.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:12	19131/19131	---M--	200	added ('OK')	image/jpeg	etag:%224abb-5220e4484e580%22	http://ecampus.ust.edu.ng/applpics/users/david.jack1.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/david.jack1.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:13	4402/4402	---M--	200	added ('OK')	image/jpeg	etag:%221132-50967c05aa240%22	http://ecampus.ust.edu.ng/applpics/users/ibiba.green.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/ibiba.green.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:13	5106/5106	---M--	200	added ('OK')	image/jpeg	etag:%2213f2-502cb831ebe40%22	http://ecampus.ust.edu.ng/applpics/users/treasure.elenwo.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/treasure.elenwo.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:14	9356/9356	---M--	200	added ('OK')	image/jpeg	etag:%22248c-5227732e6ea80%22	http://ecampus.ust.edu.ng/applpics/users/azuonwu.bestman.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/azuonwu.bestman.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:14	3940/3940	---M--	200	added ('OK')	image/jpeg	etag:%22f64-5028c07609380%22	http://ecampus.ust.edu.ng/applpics/users/stella.izidor.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/stella.izidor.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:15	4909/4909	---M--	200	added ('OK')	image/jpeg	etag:%22132d-5029d52461940%22	http://ecampus.ust.edu.ng/applpics/users/daboikiabo.sagbe.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/daboikiabo.sagbe.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:15	4512/4512	---M--	200	added ('OK')	image/jpeg	etag:%2211a0-502a0c7e12fc0%22	http://ecampus.ust.edu.ng/applpics/users/godwin.wuche.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/godwin.wuche.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:16	4022/4022	---M--	200	added ('OK')	image/jpeg	etag:%22fb6-5029259a4b300%22	http://ecampus.ust.edu.ng/applpics/users/kalada.pepple.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/kalada.pepple.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:17	16247/16247	---M--	200	added ('OK')	image/jpeg	etag:%223f77-52122523eb800%22	http://ecampus.ust.edu.ng/applpics/users/vincent.uebari.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/vincent.uebari.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:18	4582/4582	---M--	200	added ('OK')	image/jpeg	etag:%2211e6-52164d580fd80%22	http://ecampus.ust.edu.ng/applpics/users/sunny.johnson.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/sunny.johnson.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:19	5242/5242	---M--	200	added ('OK')	image/jpeg	etag:%22147a-527647209a1c0%22	http://ecampus.ust.edu.ng/applpics/users/peculiar.akaninwor.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/peculiar.akaninwor.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:20	2593/2593	---M--	200	added ('OK')	image/jpeg	etag:%22a21-520f9aaf9dac0%22	http://ecampus.ust.edu.ng/applpics/users/emeayak.moses.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/emeayak.moses.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:20	34150/34150	---M--	200	added ('OK')	image/jpeg	etag:%228566-52549841ebac0%22	http://ecampus.ust.edu.ng/applpics/users/johnson.onuoma.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/johnson.onuoma.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
15:50:21	9197/9197	---M--	200	added ('OK')	image/jpeg	etag:%2223ed-524e812eba900%22	http://ecampus.ust.edu.ng/applpics/users/edafe.okugbeni.jpg	C:/My%20Web%20Sites/vote/ecampus.ust.edu.ng/applpics/users/edafe.okugbeni.jpg	(from http://evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid=)
